SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,May-28-2024,Condo/Co-op,12230 Montego Plz,Dallas,TX,75230,539000,3,3.0,Preston Square Twnhms,2035,2701,1974,,265,220,Sold,,,https://www.redfin.com/TX/Dallas/12230-Montego-Plz-75230/home/30962965,NTREIS,20587896,N,Y,32.9198827,-96.8136323
PAST SALE,July-11-2024,Condo/Co-op,10500 Lake June Rd Unit H04,Dallas,TX,75217,95000,2,1.5,Canterbury Crossing Ph 01-08,1082,337154,1984,,88,295,Sold,,,https://www.redfin.com/TX/Dallas/10500-Lake-June-Rd-75217/unit-H04/home/31165617,NTREIS,20652480,N,Y,32.7322192,-96.6439934
PAST SALE,February-16-2024,Condo/Co-op,5626 Preston Oaks Rd Unit 18A,Dallas,TX,75254,248000,2,2.5,Preston Oaks Crossing Condos 01 & 02,1135,229431,1981,,219,405,Sold,,,https://www.redfin.com/TX/Dallas/5626-Preston-Oaks-Rd-75254/unit-18A/home/31130355,NTREIS,20506279,N,Y,32.9428431,-96.8105609
PAST SALE,April-5-2024,Condo/Co-op,4333 Gilbert Ave #104,Dallas,TX,75219,359000,2,2.0,Sullivan On Gilbert Condos,1231,23610,2004,,292,453,Sold,,,https://www.redfin.com/TX/Dallas/4333-Gilbert-Ave-75219/unit-104/home/30765300,NTREIS,20538421,N,Y,32.8198252,-96.8098169
PAST SALE,June-21-2024,Condo/Co-op,3208 Cole Ave #1210,Dallas,TX,75204,375000,2,2.0,Bois Du Chene,1048,61768,1984,,358,470,Sold,,,https://www.redfin.com/TX/Dallas/3208-Cole-Ave-75204/unit-1210/home/31162650,NTREIS,20611308,N,Y,32.8040315,-96.8007307
PAST SALE,January-4-2024,Condo/Co-op,3025 Bryan St Unit 1D,Dallas,TX,75204,285000,2,2.0,Bryan Street Station Condo,1187,50486,2006,,240,451,Sold,,,https://www.redfin.com/TX/Dallas/3025-Bryan-St-75204/unit-1D/home/30745475,NTREIS,20494083,N,Y,32.7920638,-96.7884276
PAST SALE,May-3-2024,Condo/Co-op,5757 E University Blvd Unit 22G,Dallas,TX,75206,265000,2,2.5,University Crossroads 01 & 02,902,249250,1983,,294,420,Sold,,,https://www.redfin.com/TX/Dallas/5757-E-University-Blvd-75206/unit-22G/home/31125690,NTREIS,20568930,N,Y,32.8458389,-96.7686781
PAST SALE,May-14-2024,Condo/Co-op,1200 Main St #2602,Dallas,TX,75202,255000,0,1.0,Metropolitan 1200 Main Street,660,44997,1974,,386,468,Sold,,,https://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-2602/home/30776386,NTREIS,20569763,N,Y,32.7798782,-96.8014745
PAST SALE,September-5-2024,Condo/Co-op,15745 Seabolt #51,Addison,TX,75001,550000,3,3.5,Townhomes Of District A Ph 01-11,2406,262623,2005,,229,400,Sold,,,https://www.redfin.com/TX/Addison/15745-Seabolt-75001/unit-51/home/30761793,NTREIS,20678790,N,Y,32.9632516,-96.8246401
